Item Name,Course of Action,Market Price,Cheapest Buy/Craft Price,Profit (Flat),Profit Ratio,Total Crafting Time,Profit Per Hour
Acacia Plank,Craft,3710,3520.0,-385.0500000000002,-0.1093892045454546,2.4,-577575.0000000003
Acacia Plywood,Craft,17700,14840.0,116.5,0.007850404312668464,2.4,174750.00000000003
Acacia Timber,Market Buy,1760,1760.0,-272.79999999999995,-0.15499999999999997,0.0,0.0
Advanced Cooking Utensil,Craft,1020000,567280.0,294620.0,0.519355521083063,3672.0,288843.137254902
Apprentice's Alchemy Box,Craft,180000,121454.54545454544,30645.45454545456,0.25232035928143726,5.454545454545454,20226000.000000007
Ash Plank,Craft,1150,566.0,405.75,0.7168727915194346,2.4,608625.0
Ash Plywood,Craft,8800,4600.0,2836.0,0.6165217391304347,2.4,4254000.0
Ash Sap,Market Buy,4040,4040.0,-626.2000000000003,-0.15500000000000005,0.0,0.0
Ash Timber,Market Buy,283,283.0,-43.86500000000001,-0.15500000000000003,0.0,0.0
Beer,Market Buy,980,980.0,-151.89999999999998,-0.15499999999999997,0.0,0.0
Birch Plank,Craft,1600,1040.0,312.0,0.3,2.4,468000.0
Birch Plywood,Craft,10400,6400.0,2388.0,0.373125,2.4,3582000.0
Birch Timber,Market Buy,520,520.0,-80.60000000000002,-0.15500000000000005,0.0,0.0
Bloody Tree Knot,Market Buy,3850,3850.0,-596.75,-0.155,0.0,0.0
Blue Whale Tendon,Market Buy,1910000,1910000.0,-296050.0,-0.155,0.0,0.0
Bottle of River Water,Market Buy,6000,6000.0,-930.0,-0.155,0.0,0.0
Bottle of Sea Water,Market Buy,3590,3590.0,-556.4500000000003,-0.15500000000000008,0.0,0.0
Bronze Ingot,Craft,10900,6412.0,2798.5,0.436447286338116,16.8,599678.5714285714
Cedar Plank,Craft,3920,2300.0,1012.4000000000001,0.4401739130434783,2.4,1518600.0000000002
Cedar Plywood,Craft,12400,9200.0,1278.0,0.13891304347826086,12.0,383400.0
Cedar Timber,Market Buy,1150,1150.0,-178.25,-0.155,0.0,0.0
Clear Liquid Reagent,Craft,3420,1283.6,1606.3000000000002,1.2514023060143349,3.3600000000000003,1721035.7142857143
Clown's Blood,Craft,13100,4208.0,6861.5,1.6305846007604563,2.4,10292250.0
Coal,Market Buy,1280,1280.0,-198.4000000000001,-0.15500000000000008,0.0,0.0
Cooking Wine,Market Buy,40,40.0,-6.200000000000003,-0.15500000000000008,0.0,0.0
Copper Ingot,Craft,8400,4200.0,2898.0,0.69,2.4,4347000.0
Copper Ore,Market Buy,263,263.0,-40.765000000000015,-0.15500000000000005,0.0,0.0
Elder Tree Plank,Craft,1730,866.0,595.8499999999999,0.6880484988452655,2.4,893774.9999999999
Elder Tree Plywood,Craft,13800,6920.0,4741.0,0.6851156069364162,2.4,7111500.0
Elder Tree Timber,Market Buy,433,433.0,-67.11500000000001,-0.15500000000000003,0.0,0.0
Emerald,Craft,102000,18202.91777188329,67987.0822281167,3.73495519125683,2.387267904509284,102524519.99999999
Fine Hard Hide,Craft,79500,47600.0,19577.5,0.41129201680672267,2.4,29366250.0
Fir Plank,Market Buy,3240,3240.0,-502.2000000000003,-0.15500000000000008,0.0,0.0
Fir Plywood,Craft,14700,12960.0,-538.5,-0.04155092592592593,2.4,-807750.0
Fir Sap,Market Buy,1050,1050.0,-162.75,-0.155,0.0,0.0
Fir Timber,Market Buy,1690,1690.0,-261.95000000000005,-0.15500000000000003,0.0,0.0
Flax,Market Buy,605,605.0,-93.77500000000003,-0.15500000000000005,0.0,0.0
Flax Fabric,Craft,10200,4840.0,3779.0,0.7807851239669421,12.0,1133700.0
Flax Thread,Craft,2250,1210.0,691.25,0.5712809917355371,2.4,1036875.0000000001
Forest Emerald,Craft,515000,225600.0,209575.0,0.9289671985815603,2.4,314362500.0
Gem Polisher,Craft,69000,59973.92,-1668.9199999999983,-0.027827428989133915,13.344,-450248.20143884845
Hard Hide,Craft,11900,8300.0,1755.5,0.21150602409638555,2.4,2633250.0
HP Potion (Medium),Craft,120,96.0,5.3999999999999915,0.05624999999999991,2.4,8099.999999999987
HP Potion (Small),Market Buy,80,80.0,-12.400000000000006,-0.15500000000000008,0.0,0.0
Iron Ingot,Craft,8500,3424.0,3758.5,1.0976927570093458,16.8,805392.857142857
Iron Ore,Market Buy,428,428.0,-66.34000000000003,-0.15500000000000008,0.0,0.0
